,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
170,Universal Sportsbiz Pvt Ltd,2012,Bangalore,Finance,A fashion startup based in Bengaluru., Alteria Capital,3000000.0,Venture - Series Unknown,2020,Established
171,Lattu Kids,2017,Mumbai,Education,Lattu kids is an edutainment platform for preschool kids.,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020,Early Stage
172,Eggoz,2016,Indore,Commerce,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.", Rebright Partners,1500000.0,Pre-series A,2020,Early Stage
173,Steradian Semiconductors,2016,Bangalore,Others,Semiconductor company focused on CMOS millimeter wave products for Radar.,Endiya Partners.,3000000.0,Venture - Series Unknown,2020,Early Stage
174,CHARGE+ZONE,2018,Gujarat,Real Estate,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",Mumbai Angels,3000000.0,Pre-series A,2020,Early Stage
175,Stones2milestones,2008,Gurugram,Education,Stones2milestones is India (Delhi) Based EdTech Company, Emandi Sankara Rao,2000000.0,Bridge,2020,Established
176,Udacity,2011,California,Education,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.", Inc.Bertelsmann,75000000.0,Debt,2020,Established
177,AjnaLens,2014,Thane,Technology,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.", MoD,1000000.0,Bridge,2020,Established
178,Gully Network,2019,Bangalore,Commerce,Gully Network is a tech-enabled network of mid-sized grocery stores., Orios Venture Partners,1200000.0,Pre-series A,2020,Early Stage
179,TurboHire,2018,Hyderabad,Health,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI, Pentathlon Ventures,1000000.0,Seed,2020,Early Stage
180,Traya,2016,Mumbai,Technology,work with our customers closely to get their hair health sorted for long-term effective results,Whiteboard Capital,3000000.0,Seed,2020,Early Stage
181,Charcoal Eats,2015,Mumbai,Technology,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",Lokmat Investments,2000000.0,Venture - Series Unknown,2020,Established
182,Mitron TV,2020,Bangalore,Food & Beverage,Mitron is a free short videoplatform for next generation, 9Unicorns,3000000.0,Venture - Series Unknown,2020,Early Stage
183,Svami,2016,Mumbai,Commerce,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks., Rukam Capital Trust,800000.0,Venture - Series Unknown,2020,Early Stage
184,Dhurnia,2018,Dhingsara,Education,Developer of an online learning platform intended for various competitive exam preparations., Modulor Capital,100000.0,Venture - Series Unknown,2020,Early Stage
185,Expertrons,2019,Mumbai,Education,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews., Sukanta Ganguly,3000000.0,Venture - Series Unknown,2020,Early Stage
186,Leena AI,2015,New York,Technology,Leena AI offers a human resource management platform that transforms employee experience with conversational AI., Jim Moffatt,8000000.0,Venture - Series Unknown,2020,Established
187,Bizlog,2016,Bangalore,Transport,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,IAN Fund,1000000.0,Venture - Series Unknown,2020,Early Stage
188,Tamasha.live,2020,Mumbai,Manufacturing,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.", FirstCheque,300000.0,Venture - Series Unknown,2020,Early Stage
189,Fedo,2017,Bangalore,Technology,Artificial Intelligence based Credit Score for Health, AIM Smart City,1000000.0,Venture - Series Unknown,2020,Early Stage
190,FabHotels,2015,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,Goldman Sachs,1000000.0,Venture - Series Unknown,2020,Established
191,Freshokartz,2016,Jaipur,Agriculture,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides", Innovana Thinklabs,1000000.0,Pre-series A,2020,Early Stage
192,FlexiLoans,2016,Mumbai,Technology,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",>Vikram Sud,6000000.0,Debt,2020,Early Stage
193,Agrix,2020,Patna,Agriculture,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",Maple Capital Advisors,3000000.0,Venture - Series Unknown,2020,Early Stage
194,BharatAgri,2017,Pune,Agriculture,A Smart Farming Technology Platform for Indian Farmers, India Quotient,3000000.0,Pre-series A,2020,Early Stage
195,FreshToHome,2015,Bangalore,Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood., Iron Pillar,121000000.0,Series C,2020,Established
196,Credable,2017,Mumbai,Technology,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Oaks Asset Management,4500000.0,Venture - Series Unknown,2020,Early Stage
197,Railofy,2019,Mumbai,Transport,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,Better Capital,5000000.0,Seed,2020,Early Stage
198,Finova Capital,2016,Jaipur,Technology,Finova Capital is a non-banking financial company., Faering Capital,55000000.0,Venture - Series Unknown,2020,Early Stage
199,Teachmint,2020,Bangalore,Education,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Lightspeed India,3500000.0,Seed,2020,Early Stage
200,Peel-Works,2010,Mumbai,Commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores., Brun Raschle,3000000.0,Venture - Series Unknown,2020,Established
201,Janani,2020,Bangalore,Technology,Janani aims to make the process of infertility treatment and assisted fertilisation easier, 9Unicorns,200000.0,Pre-seed,2020,Early Stage
202,Credgenics,2018,Gurugram,Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction", Sunder Nookala,3300000.0,Seed,2020,Early Stage
203,Finelistings,2015,New Delhi,Technology,A Used Luxury Car Marketplace,Justdial,3000000.0,Venture - Series Unknown,2020,Established
204,Wellversed,2018,New Delhi,Technology,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual., Shankar Narayanan,3000000.0,Pre-series A,2020,Early Stage
206,Jumbotail,2015,Bangalore,Commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Series B2,2020,Established
207,Winzo,2018,New Delhi,Manufacturing,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players., Courtside Ventures,2000000.0,Venture - Series Unknown,2020,Early Stage
208,mCaffeine,2015,Mumbai,Beauty and Fashion,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.", Amicus Capital,5000000.0,Series B,2020,Established
209,Pocket FM,2018,Bangalore,Commerce,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks., Lightspeed,5000000.0,Series A,2020,Early Stage
210,Snackible,2015,Mumbai,Technology,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels., Murali Nair,3000000.0,Bridge,2020,Established
211,FreshToHome,2015,Bangalore,Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood., Iron Pillar,16000000.0,Venture - Series Unknown,2020,Established
212,Jumbotail,2015,Bangalore,Commerce,Jumbotail is solving an important problem of organising food and grocery ecosystem in India, Capria Ventures,11000000.0,Series B2,2020,Established
213,Nykaa,2012,Mumbai,Commerce,Nykaa is an online marketplace for different beauty and wellness products., Steadview Capital,3000000.0,Venture - Series Unknown,2020,Established
214,TagZ Foods,2019,Bangalore,Food & Beverage,TagZ Foods is a supplier of snacks and food products., Shesh Kondi,3000000.0,Venture - Series Unknown,2020,Early Stage
215,Genius Teacher,2016,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students", Daniel Lapus,2000000.0,Venture - Series Unknown,2020,Early Stage
216,Krimanshi Feeds,2015,Jodhpur,Technology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed., AIM Smart City,500000.0,Venture - Series Unknown,2020,Established
217,Origo,2010,Gurugram,Agriculture,Provider of marketing and warehousing services for agricultural commodities.,Northern Arc Capital,4000000.0,Debt,2020,Established
218,GetVantage,2019,Mumbai,Technology,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,Venture Catalysts,5000000.0,Seed,2020,Early Stage
219,Betterplace,2015,Bangalore,Technology,Developer of a digital verification platform designed to manage the semi-formal workforce.,Jungle Ventures,10000000.0,Series B,2020,Established
220,Biddano,2016,Mumbai,Technology,India's 1st tech-enabled healthcare logistics platform.,Windrose Capital,600000.0,Pre-series A,2020,Early Stage
221,InVideo,2017,Mumbai,Media and Entertainment,InVideo enables you to transform your content into great videos., Sequoia Capital India,15000000.0,Series A,2020,Early Stage
222,Arzooo,2016,Bangalore,Commerce,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales", Jabbar Internet Group,7500000.0,Series A,2020,Early Stage
223,Hubilo,2020,San Francisco,Technology,World’s smartest virtual event platform that brings Experience & Intelligence together, Jonathan Boutelle,4500000.0,Seed,2020,Early Stage
224,BASIC Home Loan,2020,Gurugram,Technology,"A platform for automating home loans for middle and low-income households in India,",Picus Capital,5000000.0,Seed,2020,Early Stage
225,Ketos,2015,San Francisco,Technology,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems., Illuminated Funds Group,18000000.0,Venture - Series Unknown,2020,Established
226,SUGAR cosmetics,2012,Mumbai,Beauty and Fashion,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance., RB Investments Pte. Ltd,2000000.0,Debt,2020,Established
227,Signzy,2015,Bangalore,Technology,It is creating 'building blocks for a Digital Trust system., Contrarian Drishti Partners,5400000.0,Venture - Series Unknown,2020,Established
228,Ahaguru,2012,Chennai,Education,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",Anand Mahindra,3000000.0,Series A,2020,Established
229,Tekion,2016,San Ramon,Technology,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience., Storm Ventures,150000000.0,Series C,2020,Early Stage
230,Brighteye Ventures,2017,Paris,Education,Education technology venture capital firm.,Tandem,5400000.0,Venture - Series Unknown,2020,Early Stage
231,EzeRx,2018,Kolkata,Technology,Developer and manufacturer of medical devices, Krishna Chakravarty,200000.0,Seed,2020,Early Stage
232,VitalTech,2018,Plano,Technology,"VitalTech is a develop technologies that empower patients to better care for their safety,",Tech Mahindra,3000000.0,Seed,2020,Early Stage
233,Genius Teacher,2016,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students", VKG Ventures LLP.,2000000.0,Venture - Series Unknown,2020,Early Stage
234,Ultraviolette Automotive,2014,Bangalore,Transport,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,TVS Motor Company,4000000.0,Series B,2020,Established
235,Tring,2019,Mumbai,Technology,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.", Hemesh Singh,3000000.0,Venture - Series Unknown,2020,Early Stage
236,Rare Planet,2015,Kolkata,Commerce,Rare Planet sells handicrafts made by local artisans.,Venture Catalysts,400000.0,Pre-series A,2020,Established
237,GoodGamer,2020,Bangalore,Manufacturing,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform., Base Partners,2500000.0,Seed,2020,Early Stage
238,InnAccel,2012,Bangalore,Technology,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Mount Judi Ventures,1500000.0,Pre-series A,2020,Established
